viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
05/2018,35.5K,+3,605,+11.3%,225K,05/2018,823,-97,-10.5%,1.6K,05/2018,26.4M,+3.48M,+15.2%
04/2018,31.9K,-5,855,-15.5%,335K,04/2018,920,-142,-13.4%,1.9K,04/2018,22.9M,-5.17M,-18.4%
03/2018,37.8K,-17,761,-32%,504K,03/2018,1.1K,-96,-8.3%,2.3K,03/2018,28.1M,-9.12M,-24.5%
02/2018,55.5K,-37,942,-40.6%,373K,02/2018,1.2K,+104,+9.9%,2.3K,02/2018,37.2M,-32.3M,-46.5%
01/2018,93.5K,+68,298,+271%,1.30M,01/2018,1.1K,+177,+20.2%,2.0K,01/2018,69.5M,+50.8M,+272%
12/2017,25.2K,-10,653,-29.7%,229K,12/2017,877,+79,+9.9%,1.7K,12/2017,18.7M,-7.05M,-27.4%
11/2017,35.8K,-2,372,-6.2%,281K,11/2017,798,+1,+0.1%,1.6K,11/2017,25.8M,-2.63M,-9.3%
10/2017,38.2K,+294,+0.8%,575K,10/2017,797,+23,+3%,1.6K,10/2017,28.4M,+1.12M,+4.1%
09/2017,37.9K,+10,750,+39.6%,288K,09/2017,774,-90,-10.4%,1.5K,09/2017,27.3M,+7.12M,+35.3%
08/2017,27.2K,-64,282,-70.3%,207K,08/2017,864,+24,+2.9%,1.6K,08/2017,20.2M,-47.6M,-70.3%
07/2017,91.4K,+61,128,+202%,947K,07/2017,840,+52,+6.6%,1.6K,07/2017,67.8M,+46.0M,+211%
06/2017,30.3K,-1,478,-4.6%,275K,06/2017,788,-45,-5.4%,1.5K,06/2017,21.8M,-1.35M,-5.8%
05/2017,31.8K,-19,046,-37.5%,195K,05/2017,833,-43,-4.9%,1.7K,05/2017,23.1M,-13.3M,-36.4%
04/2017,50.8K,+1,263,+2.5%,417K,04/2017,876,-68,-7.2%,1.8K,04/2017,36.4M,-438K,-1.2%
03/2017,49.6K,-10,568,-17.6%,507K,03/2017,944,-65,-6.4%,2.1K,03/2017,36.8M,-3.54M,-8.8%
02/2017,60.1K,-37,216,-38.2%,461K,02/2017,1.0K,+72,+7.7%,2.1K,02/2017,40.4M,-31.7M,-44%
01/2017,97.4K,+56,267,+137%,1.15M,01/2017,937,+137,+17.1%,2.2K,01/2017,72.1M,+41.6M,+137%
12/2016,41.1K,-,-,237K,12/2016,800,-,-,1.7K,12/2016,30.5M,-,-
