CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
07/2017	2.3K	+604	+35.9%	3.5K
06/2017	1.7K	+227	+15.6%	2.9K
05/2017	1.5K	+289	+24.7%	2.3K
04/2017	1.2K	+644	+123%	2.1K
03/2017	524	+380	+264%	1.6K
02/2017	144	+89	+162%	368
12/2016	55	-	-	117
HOURS WATCHED
Month	Value	Gain	% Gain
02/2022	3.59M	-9.00M	-71.5%
01/2022	12.6M	+2.60M	+26%
12/2021	10.00M	-1.23M	-11%
11/2021	11.2M	+2.41M	+27.3%
10/2021	8.82M	-816K	-8.5%
09/2021	9.64M	-2.24M	-18.8%
08/2021	11.9M	-2.73M	-18.7%
07/2021	14.6M	+504K	+3.6%
06/2021	14.1M	+1.64M	+13.2%
05/2021	12.5M	-659K	-5%
04/2021	13.1M	-4.05M	-23.6%
03/2021	17.2M	-2.88M	-14.4%
02/2021	20.1M	+8.13M	+68.2%
01/2021	11.9M	+704K	+6.3%
12/2020	11.2M	-2.46M	-18%
11/2020	13.7M	+2.05M	+17.6%
10/2020	11.6M	+167K	+1.5%
09/2020	11.5M	+15.4K	+0.1%
08/2020	11.5M	-276K	-2.4%
07/2020	11.7M	-717K	-5.8%
06/2020	12.4M	-1.73M	-12.2%
05/2020	14.2M	+2.27M	+19.1%
04/2020	11.9M	-1.88M	-13.6%
03/2020	13.8M	-128K	-0.9%
02/2020	13.9M	-5.03M	-26.6%
01/2020	18.9M	+2.54M	+15.5%
12/2019	16.4M	+548K	+3.5%
11/2019	15.9M	-144K	-0.9%
10/2019	16.0M	-2.39M	-13%
09/2019	18.4M	-6.63M	-26.5%
08/2019	25.0M	+3.09M	+14.1%
07/2019	21.9M	+1.02M	+4.9%
06/2019	20.9M	-2.91M	-12.2%
05/2019	23.8M	+3.11M	+15%
04/2019	20.7M	+292K	+1.4%
03/2019	20.4M	+2.37M	+13.1%
02/2019	18.0M	-11.8M	-39.6%
01/2019	29.9M	+1.72M	+6.1%
12/2018	28.1M	+7.01M	+33.2%
11/2018	21.1M	-2.09M	-9%
10/2018	23.2M	-3.71M	-13.8%
09/2018	26.9M	-8.48M	-24%
08/2018	35.4M	-8.41M	-19.2%
07/2018	43.8M	+6.39M	+17.1%
