viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
02/2022,5.8K,-1,420,-19.7%,71.9K,02/2022,177,-39,-18.1%,479,02/2022,969K,-4.38M,-81.9%
01/2022,7.2K,-528,-6.8%,147K,01/2022,216,+3,+1.4%,611,01/2022,5.35M,-388K,-6.8%
12/2021,7.7K,-4,079,-34.6%,295K,12/2021,213,+44,+26%,647,12/2021,5.74M,-2.76M,-32.4%
11/2021,11.8K,+6,522,+123%,408K,11/2021,169,+44,+35.2%,660,11/2021,8.49M,+4.58M,+117%
10/2021,5.3K,-1,297,-19.7%,98.7K,10/2021,125,-25,-16.7%,343,10/2021,3.91M,-805K,-17.1%
09/2021,6.6K,-1,054,-13.8%,108K,09/2021,150,-33,-18%,447,09/2021,4.72M,-956K,-16.8%
08/2021,7.6K,+1,799,+30.8%,211K,08/2021,183,-,-,471,08/2021,5.68M,+1.34M,+31%
07/2021,5.8K,-4,208,-41.9%,114K,07/2021,183,-60,-24.7%,508,07/2021,4.33M,-2.88M,-39.9%
06/2021,10.0K,-4,626,-31.5%,100K,06/2021,243,-34,-12.3%,683,06/2021,7.21M,-3.70M,-33.9%
05/2021,14.7K,-12,347,-45.7%,236K,05/2021,277,-207,-42.8%,956,05/2021,10.9M,-8.52M,-43.9%
04/2021,27.0K,+3,751,+16.1%,371K,04/2021,484,+74,+18%,4.3K,04/2021,19.4M,+2.16M,+12.5%
03/2021,23.3K,-5,824,-20%,681K,03/2021,410,-163,-28.4%,3.0K,03/2021,17.3M,-2.25M,-11.5%
02/2021,29.1K,-12,961,-30.8%,332K,02/2021,573,-315,-35.5%,1.9K,02/2021,19.5M,-11.7M,-37.5%
01/2021,42.1K,-25,661,-37.9%,269K,01/2021,888,-319,-26.4%,2.4K,01/2021,31.2M,-19.1M,-37.9%
12/2020,67.7K,-39,400,-36.8%,499K,12/2020,1.2K,-641,-34.7%,3.3K,12/2020,50.3M,-26.7M,-34.7%
11/2020,107K,-40,281,-27.3%,774K,11/2020,1.8K,-1,058,-36.4%,5.3K,11/2020,77.0M,-32.6M,-29.7%
10/2020,147K,-56,742,-27.8%,754K,10/2020,2.9K,-578,-16.6%,9.1K,10/2020,110M,-37.2M,-25.4%
09/2020,204K,+162,989,+396%,743K,09/2020,3.5K,+2,985,+598%,12.4K,09/2020,147M,+116M,+380%
08/2020,41.1K,+35,502,+629%,267K,08/2020,499,+445,+824%,3.0K,08/2020,30.6M,+26.4M,+634%
07/2020,5.6K,+5,473,+3.2K%,88.3K,07/2020,54,+40,+286%,221,07/2020,4.16M,+4.04M,+3.4K%
06/2020,171,-280,-62.1%,7.0K,06/2020,14,+1,+7.7%,61,06/2020,120K,-202K,-62.7%
05/2020,451,+291,+182%,27.5K,05/2020,13,+5,+62.5%,42,05/2020,322K,+216K,+204%
04/2020,160,+42,+35.6%,3.8K,04/2020,8,+3,+60%,36,04/2020,106K,+32.1K,+43.6%
03/2020,118,+34,+40.5%,16.7K,03/2020,5,+1,+25%,22,03/2020,73.8K,+27.8K,+60.6%
02/2020,84,+6,+7.7%,2.4K,02/2020,4,+2,+100%,17,02/2020,45.9K,+12.1K,+35.7%
01/2020,78,+49,+169%,2.8K,01/2020,2,+1,+100%,11,01/2020,33.9K,+25.6K,+311%
12/2019,29,+5,+20.8%,1.2K,12/2019,1,-,-,5,12/2019,8.2K,+1.6K,+25%
11/2019,24,+9,+60%,2.1K,11/2019,1,-1,-50%,7,11/2019,6.6K,+227,+3.6%
10/2019,15,-32,-68.1%,523,10/2019,2,-,-,8,10/2019,6.4K,-20.3K,-76.1%
09/2019,47,-75,-61.5%,6.0K,09/2019,2,-1,-33.3%,12,09/2019,26.7K,-31.2K,-53.9%
08/2019,122,+90,+281%,26.4K,08/2019,3,+1,+50%,13,08/2019,57.9K,+42.7K,+280%
07/2019,32,+23,+256%,2.0K,07/2019,2,+1,+100%,11,07/2019,15.2K,+14.0K,+1.2K%
06/2019,9,+8,+800%,259,06/2019,1,-,-,4,06/2019,1.2K,+1.1K,+1.4K%
05/2019,1,-2,-66.7%,11,05/2019,1,-,-,3,05/2019,81,-96,-54.2%
04/2019,3,+2,+200%,68,04/2019,1,-,-,3,04/2019,177,+128,+261%
03/2019,1,-,-,7,03/2019,1,-,-,3,03/2019,49,+46,+1.5K%
02/2019,1,-307,-99.7%,3,02/2019,1,-,-,1,02/2019,3,-2.9K,-99.9%
01/2019,308,+242,+367%,4.4K,01/2019,1,-,-,2,01/2019,2.9K,+967,+50.7%
12/2018,66,-1,487,-95.8%,455,12/2018,1,-,-,1,12/2018,1.9K,-7.4K,-79.5%
11/2018,1.6K,-,-,7.4K,11/2018,1,-,-,3,11/2018,9.3K,-,-
