viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
04/2018,13.7K,-296,-2.1%,47.7K,04/2018,415,-13,-3%,824,04/2018,9.85M,-577K,-5.5%
03/2018,14.0K,-7,714,-35.5%,50.9K,03/2018,428,-36,-7.8%,921,03/2018,10.4M,-4.15M,-28.4%
02/2018,21.7K,+4,337,+24.9%,82.9K,02/2018,464,-52,-10.1%,939,02/2018,14.6M,+1.64M,+12.6%
01/2018,17.4K,+2,668,+18.1%,58.5K,01/2018,516,+13,+2.6%,1.0K,01/2018,12.9M,+1.98M,+18.1%
12/2017,14.7K,+980,+7.1%,97.8K,12/2017,503,+165,+48.8%,1.2K,12/2017,11.0M,+1.07M,+10.8%
11/2017,13.7K,+3,606,+35.6%,47.1K,11/2017,338,+8,+2.4%,673,11/2017,9.88M,+2.34M,+31%
10/2017,10.1K,-2,220,-18%,36.4K,10/2017,330,-54,-14.1%,707,10/2017,7.54M,-1.35M,-15.2%
09/2017,12.4K,-2,046,-14.2%,48.6K,09/2017,384,-74,-16.2%,833,09/2017,8.90M,-1.81M,-16.9%
08/2017,14.4K,-6,428,-30.9%,64.5K,08/2017,458,-65,-12.4%,915,08/2017,10.7M,-4.79M,-30.9%
07/2017,20.8K,+1,447,+7.5%,71.5K,07/2017,523,-7,-1.3%,907,07/2017,15.5M,+1.54M,+11.1%
06/2017,19.4K,-7,609,-28.2%,76.1K,06/2017,530,+119,+29%,1.3K,06/2017,13.9M,-5.65M,-28.8%
05/2017,27.0K,+5,540,+25.8%,124K,05/2017,411,+28,+7.3%,794,05/2017,19.6M,+4.24M,+27.6%
04/2017,21.5K,+17,316,+418%,152K,04/2017,383,+23,+6.4%,831,04/2017,15.4M,+12.3M,+399%
03/2017,4.1K,+758,+22.4%,21.6K,03/2017,360,-47,-11.5%,827,03/2017,3.08M,+807K,+35.5%
02/2017,3.4K,-2,392,-41.4%,40.3K,02/2017,407,-112,-21.6%,914,02/2017,2.27M,-2.00M,-46.9%
01/2017,5.8K,+1,822,+46.1%,45.6K,01/2017,519,+30,+6.1%,1.1K,01/2017,4.28M,+1.35M,+46%
12/2016,4.0K,-,-,31.6K,12/2016,489,-,-,1.1K,12/2016,2.93M,-,-
