CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
10/2020	365K	+14.6K	+4.2%
09/2020	351K	-15.4K	-4.2%
08/2020	366K	+17.9K	+5.2%
07/2020	348K	+21.2K	+6.5%
06/2020	327K	+18.8K	+6.1%
05/2020	308K	-41.1K	-11.8%
04/2020	349K	+167K	+92.1%
03/2020	182K	+35.8K	+24.6%
02/2020	146K	-33.8K	-18.8%
01/2020	180K	+16.1K	+9.8%
12/2019	164K	+9.0K	+5.9%
11/2019	155K	-63.8K	-29.2%
10/2019	218K	+70.5K	+47.6%
09/2019	148K	-63.8K	-30.1%
08/2019	212K	-9.7K	-4.4%
07/2019	221K	+9.1K	+4.3%
06/2019	212K	+57.9K	+37.5%
05/2019	154K	-39.2K	-20.2%
04/2019	194K	+8.3K	+4.5%
03/2019	185K	+29.2K	+18.7%
02/2019	156K	-111K	-41.5%
01/2019	267K	-33.6K	-11.2%
12/2018	301K	-44.6K	-12.9%
11/2018	345K	+93.3K	+37%
10/2018	252K	+39.8K	+18.8%
09/2018	212K	-112K	-34.5%
08/2018	324K	+89.6K	+38.2%
07/2018	234K	+54.7K	+30.4%
06/2018	180K	-27.9K	-13.4%
05/2018	208K	-47.1K	-18.5%
04/2018	255K	-38.9K	-13.3%
03/2018	294K	+53.5K	+22.3%
02/2018	240K	+53.2K	+28.5%
01/2018	187K	-4.8K	-2.5%
12/2017	192K	-15.7K	-7.6%
11/2017	207K	-102K	-33%
10/2017	309K	+106K	+52.4%
09/2017	203K	-9.6K	-4.5%
08/2017	213K	+7.8K	+3.8%
07/2017	205K	+28.5K	+16.2%
06/2017	176K	+11.9K	+7.2%
05/2017	164K	-11.5K	-6.5%
04/2017	176K	-6.8K	-3.7%
03/2017	183K	-14.5K	-7.3%
02/2017	197K	-47.3K	-19.3%
01/2017	245K	+49.5K	+25.4%
12/2016	195K	-	-
