viewers_Month,viewers_Average,viewers_Gain,viewers_% Gain,viewers_Peak,streams_Month,streams_Average,streams_Gain,streams_% Gain,streams_Peak,watched_Month,watched_Value,watched_Gain,watched_% Gain
09/2017,262,-151,-36.6%,6.1K,09/2017,28,-7,-20%,65,09/2017,188K,-115K,-38.1%
08/2017,413,-9,-2.1%,4.1K,08/2017,35,-9,-20.5%,73,08/2017,303K,-8.6K,-2.8%
07/2017,422,-169,-28.6%,2.4K,07/2017,44,+5,+12.8%,88,07/2017,311K,-113K,-26.6%
06/2017,591,-353,-37.4%,17.9K,06/2017,39,+3,+8.3%,81,06/2017,424K,-269K,-38.8%
05/2017,944,+254,+36.8%,23.2K,05/2017,36,-3,-7.7%,84,05/2017,693K,+200K,+40.6%
04/2017,690,+161,+30.4%,5.1K,04/2017,39,-1,-2.5%,85,04/2017,493K,+99.2K,+25.2%
03/2017,529,-72,-12%,5.1K,03/2017,40,+5,+14.3%,101,03/2017,394K,-5.3K,-1.3%
02/2017,601,-1,861,-75.6%,35.3K,02/2017,35,-27,-43.5%,86,02/2017,399K,-1.42M,-78.1%
01/2017,2.5K,+2,077,+540%,206K,01/2017,62,+37,+148%,305,01/2017,1.82M,+1.54M,+547%
12/2016,385,-,-,6.5K,12/2016,25,-,-,62,12/2016,282K,-,-
