CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
01/2021	2.39M	+782K	+48.8%
12/2020	1.60M	+595K	+58.9%
11/2020	1.01M	-135K	-11.8%
10/2020	1.14M	+412K	+56.3%
09/2020	732K	-162K	-18.1%
08/2020	894K	-102K	-10.3%
07/2020	996K	-18.8K	-1.8%
06/2020	1.01M	+287K	+39.5%
05/2020	728K	-384K	-34.6%
04/2020	1.11M	+480K	+76%
03/2020	632K	+230K	+57.2%
02/2020	402K	-204K	-33.7%
01/2020	606K	-76.4K	-11.2%
12/2019	682K	+277K	+68.5%
11/2019	405K	-86.1K	-17.5%
10/2019	491K	+18.1K	+3.8%
09/2019	473K	+72.9K	+18.2%
08/2019	400K	-26.4K	-6.2%
07/2019	426K	+93.9K	+28.2%
06/2019	333K	-259K	-43.8%
05/2019	592K	+224K	+60.8%
04/2019	368K	-191K	-34.2%
03/2019	559K	+176K	+46%
02/2019	383K	-179K	-31.9%
01/2019	562K	+61.6K	+12.3%
12/2018	500K	-115K	-18.7%
11/2018	616K	+80.7K	+15.1%
10/2018	535K	+345K	+181%
09/2018	190K	-117K	-38.1%
08/2018	307K	+36.1K	+13.3%
07/2018	271K	+63.2K	+30.4%
06/2018	208K	+68.7K	+49.3%
05/2018	139K	+22.9K	+19.6%
04/2018	117K	-7.1K	-5.7%
03/2018	124K	-28.2K	-18.6%
02/2018	152K	-206K	-57.6%
01/2018	358K	+134K	+59.7%
12/2017	224K	+20.2K	+9.9%
11/2017	204K	+33.0K	+19.3%
10/2017	171K	+38.2K	+28.8%
09/2017	133K	+34.0K	+34.4%
08/2017	98.7K	-42.6K	-30.1%
07/2017	141K	-634	-0.4%
06/2017	142K	+10.3K	+7.8%
05/2017	132K	-23.7K	-15.2%
04/2017	155K	+3.6K	+2.4%
03/2017	152K	-55.5K	-26.8%
02/2017	207K	-60.2K	-22.5%
01/2017	267K	-42.0K	-13.6%
12/2016	309K	-	-
