CONCURRENT VIEWERS
Month	Average	Gain	% Gain	Peak
03/2021	819K	-1.28M	-61%
02/2021	2.10M	+438K	+26.4%
01/2021	1.66M	+935K	+129%
12/2020	726K	+150K	+26.1%
11/2020	576K	+203K	+54.4%
10/2020	373K	-253K	-40.5%
09/2020	626K	-547K	-46.6%
08/2020	1.17M	-364K	-23.7%
07/2020	1.54M	-3.67M	-70.5%
06/2020	5.21M	-8.05M	-60.7%
05/2020	13.3M	+12.7M	+2.2K%
04/2020	589K	+80.3K	+15.8%
03/2020	509K	-261K	-33.9%
02/2020	769K	-128K	-14.2%
01/2020	897K	+379K	+73.2%
12/2019	518K	+332K	+178%
11/2019	186K	+55.4K	+42.3%
10/2019	131K	-75.0K	-36.4%
09/2019	206K	-261K	-55.9%
08/2019	467K	-64.5K	-12.1%
07/2019	532K	-407K	-43.3%
06/2019	939K	+511K	+120%
05/2019	427K	-37.7K	-8.1%
04/2019	465K	+85.5K	+22.5%
03/2019	380K	+74.2K	+24.3%
02/2019	305K	-200K	-39.5%
01/2019	505K	+79.3K	+18.6%
12/2018	426K	+173K	+68.6%
11/2018	253K	-669K	-72.6%
10/2018	921K	-181K	-16.4%
09/2018	1.10M	-197K	-15.2%
08/2018	1.30M	-405K	-23.8%
07/2018	1.70M	+1.14M	+204%
06/2018	561K	-346K	-38.1%
05/2018	907K	+129K	+16.6%
04/2018	778K	+41.6K	+5.6%
03/2018	736K	+107K	+17%
02/2018	629K	+269K	+74.6%
01/2018	360K	+106K	+41.6%
12/2017	255K	+8.1K	+3.3%
11/2017	246K	+152K	+161%
10/2017	94.3K	-34.6K	-26.9%
09/2017	129K	-258K	-66.6%
08/2017	386K	+122K	+46.1%
07/2017	264K	+107K	+68.1%
06/2017	157K	-90.8K	-36.6%
05/2017	248K	+147K	+146%
04/2017	101K	+2.7K	+2.8%
03/2017	98.3K	-207K	-67.8%
02/2017	305K	+81.9K	+36.7%
01/2017	223K	-54.1K	-19.5%
12/2016	277K	-	-
.
